id,ytid,caption,genre,tempo_bpm,instruments
0001,zu_1zpF--Zg,This audio contains someone playing jazz chords and melody on a e-guitar along with an upright bass also creating a slapping sound as a percussive element. In the background you can hear people talking and the sound of dishes. This song may be playing in a restaurant.,jazz,117,guitar; bass; voice
0002,7IndxxjZe1c,"70's jazz fusion featuring an eccentric male singer accompanied by drum kit, electric bass, electric piano and mallet percussion all playing odd meters and complex rhythms and staccato band hits. The music is quirky and complicated and features a drum fill.",jazz,125,bass; drums; piano; percussion
0003,EnJ8zV3vaJA,This audio contains a saxophone player playing along to a high beeping tone that seems not to be part of the music. In the background you can hear people laughing. THis song may be playing live at a jazz performance.,jazz,129,saxophone; sax
0004,NlCfScKw_Mk,Someone is playing a track from speakers. This song contains a strong e-bass playing a funky bassline along with a funky drum groove. Then a piano comes in playing a jazzy melody in one scale accompanied by a synth brass sound swelling into existence and playing a short rise before leaving again. This is an amateur recording but of decent audio-quality. This song may be playing in a jazzbar.,jazz,114,bass; piano; keyboard; synth; brass
0005,JU6GUqRqbtI,"This is a big band jazz music piece. It is an instrumental piece. The main melody is played by a wide variety of the winds section composed of the saxophone, the trumpet, the flute and the clarinet. The piano and the upright bass provide backing structures. The rhythmic background consists of a jazz acoustic drum beat. The atmosphere is playful. This piece could fit perfectly in the soundtrack of a Disney-type animation movie.",jazz,110,bass; drums; piano; trumpet; saxophone; sax; flute; clarinet
0006,iBH5X5SKirU,This jazz song features a guitar solo. This is accompanied by percussion playing a simple beat. An acoustic guitar strums chords on each count of the bar. The bass plays the root notes of the chords. There are no voices in this song. The song has a happy mood. This song can be played in a coffee shop.,jazz,114,guitar; acoustic guitar; bass; voice; percussion
0007,kVYXcbvw9u4,"This music is an electronic instrumental; the tempo is medium with a solo electric guitar lead and no accompanying instruments. The music is melodic, rhythmic, and groovy.",jazz,144,guitar; electric guitar
0008,Hnk45Z0EAxg,"The song is instrumental. The song is medium tempo with traditional percussion instruments , bongos, piano accompaniment and groovy bass line. The song is improvisational and energetic. The song is jazz fusion and has poor audio quality.",jazz,104,bass; piano; keyboard; percussion; bongos
0009,YFXSbPFaxcA,"The song is an instrumental. The song is medium tempo with a keyboard accompaniment, groovy bass line and a funky drumming rhythm. There is a lot of office ambient noises, like a printer motor noises, wind noise and other office environmental sounds. The music track acts as a background to the ambient office sound environment. The audio quality is very poor.",jazz,110,bass; keyboard
0010,YDBxdZchOuM,"The song is an instrumental. The tempo is medium with a guitar playing a romantic lead, steady drumming, rock drumming, percussive bass line, cymbals crashing and guitar strumming rhythm. The song is exciting and youthful. The song has a bad audio quality.",jazz,134,guitar; bass
0011,3UHHjbO0ThM,This audio contains an acoustic drum set playing fast snare rolls and then adding in a kick on every beat along with some crash hits. A synthesizer is playing a fast lead melody in the upper register. Then the song breaks into the next part and a brass/string section is playing a melody changing note on every beat together with the kick. This song may be playing for a fast paced video-game.,rock,101,drums; synth; synthesizer; brass
0012,WO_Y7djT2k4,A drum is playing a groove and sounds like running through a low pass filter opening up. Synthesizer pads are playing a simple melody that gets repeated in the lower register with overtones. Panned to both sides of the speaker a simple melody is playing pulsating synth sounds. A   male voice is singing/streaming/rapping. The voice seems to be pitched down and processed with other effects. This song may be playing in a scary videogame.,rock,150,drums; synth; synthesizer; voice
0013,PP3kNqPM434,This punk rock song features a male voice singing the main melody at a comfortable pitch. This is accompanied by percussion playing a simple rock beat. A distortion guitar plays power chords using downstrokes. The bass plays the root notes of the chords. This song is played at a moderate tempo. This song can be played at the end credits of an action movie.,rock,87,guitar; bass; voice; percussion
0014,Yk2ZrS0ZS6g,"This music clip is an instrumental. The tempo is medium with a simple and interesting melody with a recorder harmony, steady drumming, groovy bass lines,keyboard accompaniment ,xylophone rhythm, a constant electronic sound like that of a child’s toy gun or car , tambourine beats and chimes and bells. The music is mellow, unique, fun, simple and catchy. This music is Soft Rock/Pop.",rock,117,bass; keyboard
0015,5keRbrVx-G4,"A male vocalist sings this enthusiastic Rock song. The tempo is fast with bright drumming, enthusiastic electric guitar harmony, keyboard accompaniment , groovy bass line. The song is youthful, enthusiastic, energetic, vital, vigorous and passionate rock.",rock,156,guitar; electric guitar; bass; drums; keyboard; vocals
0016,LAHWV6fZwUk,This is an indie rock/pop rock music piece. There is a male vocalist singing melodically with a telephone vocal effect. The melodic background consists of an electric guitar and a bass guitar. The rhythm is played by a simple acoustic drum beat. The atmosphere is groovy. This piece could be used during a badass scene in a thriller movie.,rock,110,guitar; electric guitar; bass; drums
0017,XjrVSk0_4vc,This song contains a digital/acoustic drum holding a simple groove with an e-bass while two distorted e-guitars are playing a melody with one being the lead. A male voice is singing in a higher register while you can hear hand clapping to the rhythm. This is an amateur recording and in poor audio-quality. This song may be playing at a live concert.,rock,144,guitar; bass; drums; voice
0018,_b5n-mny1lM,"This is an alternative rock piece. There is a male vocal singing gently and melodically at the forefront in the medium range, while a male back vocal can be heard singing at a higher pitch. A clean sounding electric guitar is playing a mellow tune with a bass guitar holding the root notes in the background. The acoustic drums are playing a basic rock beat. There is an easygoing aura to it. This piece could be used in a food/beverage commercial. It could also be playing at a sports venue.",rock,91,guitar; electric guitar; bass; drums
